booking_date,travel_date,destination,price,customer_id,booking_source
2023-01-01,2023-02-01,Tokyo,2446.408711247095,1,Travel Agency
2023-01-02,2023-02-02,Sydney,521.6146506655518,2,Mobile App
2023-01-03,2023-02-03,London,2838.6661167764037,3,Website
2023-01-04,2023-02-04,Sydney,2936.364302998211,4,Mobile App
2023-01-05,2023-02-05,London,979.2817682379618,5,Travel Agency
2023-01-06,2023-02-06,Tokyo,1525.4824824645161,6,Website
2023-01-07,2023-02-07,Paris,717.5107292134699,7,Travel Agency
2023-01-08,2023-02-08,Sydney,2623.452930390442,8,Website
2023-01-09,2023-02-09,New York,817.8098133153426,9,Website
2023-01-10,2023-02-10,Paris,1027.6614869743166,10,Website
2023-01-11,2023-02-11,London,2625.267041441272,11,Website
2023-01-12,2023-02-12,London,664.6762928889043,12,Travel Agency
2023-01-13,2023-02-13,London,1318.332762241318,13,Travel Agency
2023-01-14,2023-02-14,London,1144.110159220178,14,Mobile App
2023-01-15,2023-02-15,Sydney,2423.5869358741693,15,Website
2023-01-16,2023-02-16,Tokyo,1490.777809266159,16,Mobile App
2023-01-17,2023-02-17,Tokyo,1572.745213602623,17,Website
2023-01-18,2023-02-18,London,2481.468381646333,18,Website
2023-01-19,2023-02-19,Paris,1613.777120012639,19,Mobile App
2023-01-20,2023-02-20,Paris,1304.292885383589,20,Mobile App
2023-01-21,2023-02-21,London,1063.3495748041496,21,Website
2023-01-22,2023-02-22,New York,2331.614462314009,22,Website
2023-01-23,2023-02-23,Paris,1571.6429483860359,23,Mobile App
2023-01-24,2023-02-24,Sydney,2897.2162798999675,24,Website
2023-01-25,2023-02-25,London,2171.2138165854894,25,Travel Agency
2023-01-26,2023-02-26,Sydney,2520.141503654878,26,Mobile App
2023-01-27,2023-02-27,Sydney,1856.5462103230625,27,Travel Agency
2023-01-28,2023-02-28,London,1814.9374088345644,28,Travel Agency
2023-01-29,2023-03-01,London,1458.4318410001893,29,Mobile App
2023-01-30,2023-03-02,London,1675.8865078096794,30,Travel Agency
2023-01-31,2023-03-03,New York,2300.2864585668267,31,Travel Agency
2023-02-01,2023-03-04,Paris,2955.038279819511,32,Travel Agency
2023-02-02,2023-03-05,London,2072.1712690462086,33,Travel Agency
2023-02-03,2023-03-06,Paris,2554.275356564596,34,Website
2023-02-04,2023-03-07,Sydney,2809.1585484809993,35,Mobile App
2023-02-05,2023-03-08,Tokyo,914.8578247873045,36,Website
2023-02-06,2023-03-09,Sydney,2342.2438476980437,37,Mobile App
2023-02-07,2023-03-10,London,2419.485218929316,38,Travel Agency
2023-02-08,2023-03-11,Sydney,1154.2120421034815,39,Mobile App
2023-02-09,2023-03-12,London,1117.0180139838135,40,Mobile App
2023-02-10,2023-03-13,Tokyo,1965.447085104882,41,Travel Agency
2023-02-11,2023-03-14,Tokyo,1752.6300153671943,42,Website
2023-02-12,2023-03-15,Tokyo,1837.766267811846,43,Website
2023-02-13,2023-03-16,New York,1182.5988437873252,44,Website
2023-02-14,2023-03-17,Sydney,1410.007695170892,45,Mobile App
2023-02-15,2023-03-18,Tokyo,2938.3098299789804,46,Travel Agency
2023-02-16,2023-03-19,Sydney,1211.9660559995282,47,Travel Agency
2023-02-17,2023-03-20,New York,2645.875378680476,48,Mobile App
2023-02-18,2023-03-21,Tokyo,869.1627012639299,49,Website
2023-02-19,2023-03-22,Paris,924.0414235969611,50,Website
2023-02-20,2023-03-23,London,2930.1864863854194,51,Mobile App
2023-02-21,2023-03-24,London,1827.2654456145306,52,Travel Agency
2023-02-22,2023-03-25,London,865.7281395902096,53,Website
2023-02-23,2023-03-26,Sydney,1976.4447334946549,54,Website
2023-02-24,2023-03-27,Sydney,2269.2412565423488,55,Website
2023-02-25,2023-03-28,Sydney,1930.5941025149205,56,Mobile App
2023-02-26,2023-03-29,Paris,1979.9175856202364,57,Mobile App
2023-02-27,2023-03-30,London,1393.8871482833506,58,Travel Agency
2023-02-28,2023-03-31,Sydney,2393.360231513455,59,Mobile App
2023-03-01,2023-04-01,Paris,2536.5519463663204,60,Mobile App
2023-03-02,2023-04-02,Tokyo,889.613750388586,61,Mobile App
2023-03-03,2023-04-03,Sydney,2870.0081695821686,62,Travel Agency
2023-03-04,2023-04-04,Tokyo,1090.5479481175544,63,Mobile App
2023-03-05,2023-04-05,New York,2567.3586395326633,64,Mobile App
2023-03-06,2023-04-06,Paris,698.793442349918,65,Travel Agency
2023-03-07,2023-04-07,Paris,2505.3480595492274,66,Mobile App
2023-03-08,2023-04-08,New York,1278.2452280465586,67,Travel Agency
2023-03-09,2023-04-09,Sydney,756.0176207027084,68,Website
2023-03-10,2023-04-10,London,2360.864136900769,69,Website
2023-03-11,2023-04-11,London,620.3791581469607,70,Mobile App
2023-03-12,2023-04-12,Paris,755.2428098755186,71,Travel Agency
